EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M2 ; Acabado sintetico
COSTOS PLAN DE MANEJO DE TRAFICO (PMT) > PMT (ACT POR EJECUTAR ET 1 a 9) ; UM % ; PMT - ETAPA 07
COSTOS PLAN DE MANEJO DE TRAFICO (PMT) > PMT (ACT POR EJECUTAR ET 1 a 9) ; UM % ; PMT - ETAPA 08
COSTOS PLAN DE MANEJO DE TRAFICO (PMT) > PMT (ACT POR EJECUTAR ET 1 a 9) ; UM % ; PMT - ETAPA 09
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM GLB ; PMT(incluye suministro, tramite y personal de obra)
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM GLB ; Polizas
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM GB ; POLIZAS - PARA CONTRATO DE URBANISMO CON EL ADMON DELEGADO
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM UN ; Pozo de inspeccion en concreto hmax=2m, tapa en concreto
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM M2 ; PQ-10A Y PQ-10B - MANTENIMIENTO
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM M2 ; PQ-11 - MANTENIMIENTO
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM M2 ; PQ-12 - MANTENIMIENTO
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM M2 ; PQ-13 - MANTENIMIENTO
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM M2 ; PQ-14 - MANTENIMIENTO
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM M2 ; PQ-15 - MANTENIMIENTO
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM M2 ; PQ-16 - MANTENIMIENTO
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM M2 ; PQ-17 - MANTENIMIENTO
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM M2 ; PQ-18 - MANTENIMIENTO
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM M2 ; PQ-19 - MANTENIMIENTO
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM M2 ; PQ-1A - MANTENIMIENTO
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM M2 ; PQ-1B - MANTENIMIENTO
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM M2 ; PQ-2 - MANTENIMIENTO
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM M2 ; PQ-3 - MANTENIMIENTO
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM M2 ; PQ-4 - MANTENIMIENTO
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM M2 ; PQ-5 - MANTENIMIENTO
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM M2 ; PQ-6 - MANTENIMIENTO
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM M2 ; PQ-7 - MANTENIMIENTO
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM M2 ; PQ-8 - MANTENIMIENTO
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM M2 ; PQ-9 - MANTENIMIENTO
MANTENIMIENTO HUMEDAL (2023 - 2030) > MANTENIMIENTO HUMEDAL (2024) ; UM GL ; PROGRAMA DE EDUCACION AMBIENTAL
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO SANITARIO ; UM ML ; Prueba de hermeticidad
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM ML ; Prueba hidrostática, lavado y desinfección
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM UN ; Prueba VLF para circuito de media tensión
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM GB ; Pruebas de hermeticidad y CCTV según norma EAAB de tramos acabados
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Pruebas de válvulas, hidrantes y ventosas
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM UN ; PRUEBAS HERMETICIDAD-CCTV
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM GB ; Pruebas, coordinación, energización y recibo por operador de red
PTAR (BOMBAS PARA PTAR) > PTAR ; UM GB ; PTAR BOMBAS PARA ESTACION ELEVADORA
CONSTRUCCION PTAR > PTAR ; UM GB ; PTAR FASE III (2025)
CONSTRUCCION PTAR > PTAR ; UM GB ; PTAR FASE IV (2027)
CONSTRUCCION PTAR > PTAR ; UM GB ; PTAR FASE V (2029)
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > ACTIVIDADES ADICIONALES (AREA DE PRESUPUESTO DE COLSUBSIDIO) ; UM GB ; REFORESTACION LADERA
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM UN ; Rejilla de drenaje para bioswale
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM M3 ; Relleno con material orgánico para bioretenedor
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM M3 ; Relleno con material seleccionado de excavación
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M3 ; Relleno con mezcla de gravilla de 3/4" y arena de rio
ALMA CAFÉ > RED SUMINISTRO ALMA CAFÉ ; UM M3 ; RELLENO EN ARENA DE PEÑA
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M3 ; Relleno en arena peña
ALMA CAFÉ > RED SUMINISTRO ALMA CAFÉ ; UM M3 ; RELLENO EN RECEBO B-200
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M3 ; Relleno en recebo b400
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM M3 ; Relleno inicial alrededor de tubería
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M3 ; Relleno Manual Tierra Negra X 30CM
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M3 ; Relleno Material seleccionado(montañas)
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE TELECOMUNICACIONES (VOZ & DATOS) ; UM M3 ; Relleno para redes en arena de peña
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM M2 ; Reparación (Andenes)
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM GLB ; Reparación de parques
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM GB ; REPARACION VIAS Y ANDENES ETAPA 1
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM GB ; REPARACION VIAS Y ANDENES ETAPA 2
ALMA CAFÉ > RED SUMINISTRO ALMA CAFÉ ; UM M2 ; REPARACIONES VIALES
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM GB ; Replanteo, localización y coordinación de la red de media tensión
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM M2 ; Reposición de pavimento flexible y estructura
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM M2 ; Reposición de pavimento, andén o zona dura afectada
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM GL ; Reproceso de pintura
CASONA > RESTAURACION Y AMPLIACION DE LA CASONA ; UM GB ; RESTAURACION Y AMPLIACION DE LA CASONA
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM UN ; Retiro controlado de barraje preformado B-2 existente
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM ML ; Retiro de cable existente 3x120 mm² Al entre Colegio L6 y Supermercado L12
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > OBRAS ELECTRICAS ; UM UN ; Retiro de Caja de borneras para derivación de acometidas, estructuras de BT o similares
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > OBRAS ELECTRICAS ; UM UN ; Retiro de estructura de MT según norma LA-212/LA-202/LA-231/LA-206 o similar
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > OBRAS ELECTRICAS ; UM ML ; Retiro de red de MT 3x2ACSR
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM ML ; Retiro de red existente
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > OBRAS ELECTRICAS ; UM UN ; Retiro y transporte de poste de 12m 510kgF
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M2 ; Riego de arena y caucho
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M2 ; Rodadura asfaltica MDC-II de 5.5cm
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM M2 ; Rotura de anden
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM M2 ; SC - Descapote de terreno
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM M3 ; SC - Excavación maquina, incluye retiro escombros
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM M2 ; SC - geotextil no tejido
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM M2 ; SC - localizacion y replanteo
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM M3 ; SC - Mejoramiento en rajon
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM M3 ; SC - Relleno con material granular
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PQ14 ; UM ML ; Sc-bloque de concreto graderia
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM M3 ; sc-Bombeo de concreto
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM ML ; SC-Cinta PVC
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM M2 ; SC-Entibado laterales taludes
MANTENIMIENTO HUMEDAL (2023 - 2030) > MANTENIMIENTO HUMEDAL (2024) ; UM GL ; SEGUIMIENTO Y MONITORIEO
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM M2 ; Sentido del tránsito en pompeyanos (Triángulos) - Pintura de dos componentes metil metacrilato
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM UN ; Señal vertical (0,60mx0,60m)
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM UN ; Señal vertical ciclorruta doble (0,45m x 0,45m)
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM UN ; Señal vertical ciclorruta sencilla "Fin ciclorruta"
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM UN ; Señal vertical ciclorruta sencilla "Inicio ciclorruta"
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM UN ; Señal vertical ciclorruta sencilla (0,45m x 0,45m)
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM UN ; Señal vertical SP-46A / SR-30
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM UN ; Señal vertical SPB-03
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM UN ; Señal vertical SPB-04
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM UN ; Señal vertical SPC-01 / SPC-01
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM UN ; Señal vertical SPC-01 / SRC-01
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM UN ; Señal vertical ubicación de cruce ciclistas SP-59A
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM UN ; Señal vertical ubicación de cruce peatonal SP-46
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM UN ; Señal vertical ubicación de cruce peatonal SP-46B
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM GLB ; SEÑALIZACIÓN PMT (VERTICAL Y HORIZONTAL)
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM GB ; Señalización y plan de manejo de tránsito para frentes de red MT
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM GB ; Señalizacion zonas
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM UN ; Separadores losa
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM UN ; Sistema de puesta a tierra completo por centro de transformación
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM DIA ; Stand-by
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M3 ; Subabase granular SBG-B
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M3 ; Subbase granular 0,20m idu
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE TELECOMUNICACIONES (VOZ & DATOS) ; UM M3 ; Sub-base granular clase C para telecomunicaciones
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M2 ; Sum + Inst malla eslabonada cerramiento de altura 5m -
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM ML ; Sum + MO Baranda M-18 tipo idu
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM ML ; Sum + MO Bordillo de confinamiento
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM ML ; Sum + MO Tuberia en acero galvanizado 2"
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM UN ; Sumidero de concreto prefabricado
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM ML ; Suministro cable 3x120 mm² Al XLPE 15 kV
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM ML ; Suministro cable 3x240 mm² Al XLPE 15 kV
PERFILES VIALES (VIAS-ANDENES) > CICLORRUTA ; UM UN ; Suministro de cañuela prefabricada
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM ML ; Suministro de Tubería
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM ML ; Suministro de tubería de concreto reforzado DI 30" tipo Pipe Jacking
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM ML ; Suministro de tubería de concreto reforzado DI 900mm tipo Pipe Jacking
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM ML ; Suministro de Tubería GRP 48"
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM ML ; Suministro de Tubería GRP 92"
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > OBRAS ELECTRICAS ; UM UN ; Suministro e instalación Caja de paso en mamposteria según norma CS-276
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM UN ; Suministro e instalación CDMT-7, 1 entrada, 1 salida y 2 derivaciones
ALMA CAFÉ > RED SUMINISTRO ALMA CAFÉ ; UM ML ; SUMINISTRO E INSTALACIÓN CINTA PREVENTIVA REDES
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM UN ; Suministro e instalación cono y tapa para pozo de inspección
PERFILES VIALES (VIAS-ANDENES) > ANDENES ; UM UN ; Suministro e instalación de árbol
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > OBRAS ELECTRICAS ; UM UN ; Suministro e instalacion de bajante galvanizada de 4"x6m
PERFILES VIALES (VIAS-ANDENES) > ANDENES ; UM UN ; Suministro e instalación de banca en concreto con espaldar M-30
PERFILES VIALES (VIAS-ANDENES) > ANDENES ; UM UN ; Suministro e instalación de banca L=2,06m (CIO106682)
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM ML ; Suministro e instalación de banco de ductos PVC-TDP 12Ø6"
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM ML ; Suministro e instalación de banco de ductos PVC-TDP 9Ø6"
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE ALUMBRADO PÚBLICO ; UM UN ; Suministro e instalación de Barraje preformado de B.T. para fusibles limitadores de corriente de cable de 6 salidas según norma AP820
PERFILES VIALES (VIAS-ANDENES) > RAMPA VEHICULAR ; UM UN ; Suministro e instalación de bolardo alto en hierro Tipo M-63
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > OBRAS ELECTRICAS ; UM ML ; Suministro e instalación de cable 3x185 XLPE Al
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > OBRAS ELECTRICAS ; UM UN ; Suministro e instalación de codo premoldeado de (200-600)A
PERFILES VIALES (VIAS-ANDENES) > ANDENES ; UM UN ; Suministro e instalación de dos canecas M-121
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE ALUMBRADO PÚBLICO ; UM JG ; Suministro e instalación de empalmes en resina (Juegox2)
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > OBRAS ELECTRICAS ; UM UN ; Suministro e instalación de estructura para poste de MT LA-220
PERFILES VIALES (VIAS-ANDENES) > VÍA ; UM ML ; Suministro e instalación de filtro tipo francés (Ancho=0,30m. Incluye tubo PVC perforado Ø=4", geotextil, arena lavada + gravilla 1/2" 0,60:0,40)
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE ALUMBRADO PÚBLICO ; UM UN ; Suministro e instalación de malla a tierra de iluminación exterior conformada por 1 Varilla copper de 2.4 m, soldadura exotérmica, 1 Empalme bimetálico y 1 m de Cable de Cobre 2/0 AWG
PERFILES VIALES (VIAS-ANDENES) > ANDENES ; UM UN ; Suministro e instalación de protector de árbol de dos tubos Tipo M-91
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM ML ; Suministro e instalación de resalto en concreto
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > OBRAS ELECTRICAS ; UM JG ; Suministro e instalación de terminales premoldeados 35 kV Tipo exterior (Juegox3)
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > OBRAS ELECTRICAS ; UM ML ; Suministro e instalación de tubería 9Ф6" TDP (Incluye excavación, retiro de escombros y relleno)
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM UN ; Suministro e instalación transformador trifásico tipo aceite 112,5 kVA, 11,4 kV / 208-120 V
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM UN ; Suministro e instalación transformador trifásico tipo aceite 150 kVA, 11,4 kV / 208-120 V
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM UN ; Suministro e instalación transformador trifásico tipo aceite 225 kVA, 11,4 kV / 208-120 V
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM UN ; Suministro e instalación transformador trifásico tipo aceite 30 kVA, 11,4 kV / 208-120 V
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM UN ; Suministro e instalación transformador trifásico tipo aceite 300 kVA, 11,4 kV / 208-120 V
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM UN ; Suministro e instalación transformador trifásico tipo aceite 400 kVA, 11,4 kV / 208-120 V
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM UN ; Suministro e instalación transformador trifásico tipo aceite 45 kVA, 11,4 kV / 208-120 V
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM UN ; Suministro e instalación transformador trifásico tipo aceite 500 kVA, 11,4 kV / 208-120 V
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM UN ; Suministro e instalación transformador trifásico tipo aceite 630 kVA, 11,4 kV / 208-120 V
PERFILES VIALES (VIAS-ANDENES) > RAMPA VEHICULAR ; UM UN ; Suministro pieza remate A-105 para rampa
PERFILES VIALES (VIAS-ANDENES) > RAMPA VEHICULAR ; UM UN ; Suministro sardinel alto A-86 para rampas
PERFILES VIALES (VIAS-ANDENES) > RAMPA VEHICULAR ; UM UN ; Suministro sardinel bajo A-85 para rampa
PERFILES VIALES (VIAS-ANDENES) > RAMPA VEHICULAR ; UM UN ; Suministro sardinel especial A-100 para rampa
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PQ16 ; UM UN ; Suministro tuberia novafor 250 mm 8"- 6 mts
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PQ19 ; UM UN ; Suministro tuberia novafor 315 mm 4"- 6 mts
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM UN ; Suministro tuberia novafor 315 mm 6"- 6 mts
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO SANITARIO ; UM UN ; Suministro tubería PVC flexible Ø12"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO SANITARIO ; UM UN ; Suministro tubería PVC flexible Ø14"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO SANITARIO ; UM UN ; Suministro tubería PVC flexible Ø16"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO SANITARIO ; UM UN ; Suministro tubería PVC flexible Ø18"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO SANITARIO ; UM UN ; Suministro tubería PVC flexible Ø24"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Suministro tubería PVC presión Ø1"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Suministro tubería PVC presión Ø10"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Suministro tubería y piezas especiales HD Ø4"
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM M2 ; Suministro y colocación de geotextil Tejido 2400
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM M3 ; Suministro y colocación de gravilla 10-15 mm (capa filtrante)
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM M3 ; Suministro y colocación de gravilla 25-40 mm (capa drenante)
PERFILES VIALES (VIAS-ANDENES) > CICLORRUTA ; UM M3 ; Suministro y colocación de recebo B-200
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM M3 ; Suministro y colocación de triturado 3/4
PERFILES VIALES (VIAS-ANDENES) > ANDENES ; UM UN ; Suministro y construcción de contenedor de raíces (Dimensiones: 2,0x1,2m). Incluye tierra negra
PERFILES VIALES (VIAS-ANDENES) > ANDENES ; UM UN ; Suministro y construcción de contenedor de raíces Tipo A (2,00x2,20)m
